il,count
KOCAELİ,2552
İSTANBUL,2044
DİYARBAKIR,1742
İZMİR,1381
ŞANLIURFA,840
ANKARA,828
DENİZLİ,615
VAN,535
MERSİN,511
HAKKARİ,507
ANTALYA,447
MUĞLA,418
UŞAK,415
HATAY,413
NİĞDE,407
GAZİANTEP,394
MARDİN,390
ADANA,386
BURSA,384
TEKİRDAĞ,365
ŞIRNAK,352
AYDIN,269
ZONGULDAK,236
BALIKESİR,225
KARABÜK,221
BURDUR,213
ARTVİN,208
MUŞ,207
KARS,202
AĞRI,200
ESKİŞEHİR,200
KAYSERİ,188
MANİSA,175
ERZURUM,173
BİTLİS,169
KONYA,166
BİNGÖL,157
ÇORUM,140
GİRESUN,129
TUNCELİ,127
AMASYA,116
BOLU,115
EDİRNE,110
ORDU,107
SİVAS,107
OSMANİYE,97
AFYONKARAHİSAR,94
ÇANAKKALE,90
BATMAN,85
ISPARTA,82
SİİRT,82
BARTIN,79
KAHRAMANMARAŞ,77
SAMSUN,75
KIRKLARELİ,74
YALOVA,68
ELAZIĞ,67
ERZİNCAN,63
TRABZON,62
SAKARYA,45
ADIYAMAN,42
IĞDIR,35
KARAMAN,32
ARDAHAN,31
AKSARAY,22
TOKAT,22
KİLİS,21
DÜZCE,16
RİZE,15
MALATYA,14
KÜTAHYA,11
,10
YOZGAT,9
KIRŞEHİR,5
KASTAMONU,4
KIRIKKALE,3
NEVŞEHİR,3
BİLECİK,2
SİNOP,2
