kelime,count
bulunan,2630
iddiasına,1909
ilçesinde,1650
talebine,1594
cezaevinde,1484
yaşanan,1390
kapalı,1275
tarafından,1225
bazı,1205
mahkumun,1118
tipi,1006
bağlı,955
edilen,912
ilinde,886
alınan,845
2023,731
ilçesine,683
sayısına,665
tarihinde,661
yürütülen,659
akıbetine,645
çalışmalara,612
sağlık,601
arasında,560
gelen,557
meydana,545
2024,512
iddialara,505
yönelik,504
yılda,499
bakanlık,494
şubat,493
kamu,491
nolu,479
çeşitli,478
iddia,473
sorunlara,460
önlemlere,454
karşı,437
verilere,429
nedeniyle,419
verilen,413
eğitim,411
yılları,400
planlanan,397
yana,386
kapsamında,384
yüksek,374
yaşandığı,372
2026,364
